sec"   "mA"   "mV
0.156    -49.6678848266602    -18.2095279693604
0.254    -43.7485580444336    -13.1595869064331
0.351    -39.8477973937988    -8.71762275695801
0.449    -37.0144500732422    -4.35098695755005
0.547    -34.918628692627    0.584744870662689
0.647    -32.7254295349121    5.33094024658203
0.747    -30.9788703918457    10.1908569335938
0.847    -29.0576782226563    14.2911691665649
0.947    -27.4857482910156    19.5690402984619
1.048    -25.9331951141357    23.859375
1.148    -24.2447624206543    28.7572002410889
1.248    -22.7697124481201    33.5029106140137
1.348    -20.9843997955322    38.3249206542969
1.448    -19.7033576965332    43.071117401123
1.549    -17.6075344085693    48.0826606750488
1.649    -15.9191017150879    53.1705093383789
1.749    -14.5411787033081    57.1191940307617
1.849    -12.8721218109131    62.244945526123
1.949    -11.2226886749268    66.3073501586914
2.05    -9.767014503479    71.4710159301758
2.15    -8.31158924102783    76.1413955688477
2.25    -6.72028398513794    81.2671508789063
2.35    -5.1093544960022    85.2916488647461
2.45    -3.61517715454102    90.607421875
2.551    -2.06262350082397    95.5052490234375
2.651    -0.490694224834442    99.9472122192383
2.751    0.984355807304382    104.769226074219
2.851    2.45915746688843    109.249580383301
2.951    4.10883855819702    113.843658447266
3.052    5.8553991317749    118.779396057129
3.152    7.48570442199707    123.601402282715
3.252    9.34876823425293    128.005935668945
3.352    11.0565776824951    133.131698608398
3.452    12.8612661361694    137.687866210938
3.553    14.7243299484253    142.281951904297
3.653    16.8204021453857    147.559326171875
3.753    18.6250896453857    151.698028564453
3.853    20.430025100708    156.899597167969
3.953    22.3512172698975    161.683700561523
4.054    24.6606712341309    166.20149230957
4.154    26.2328491210938    170.909774780273
4.254    28.4645519256592    175.731781005859
4.354    30.2694892883301    180.135833740234
4.454    32.3265609741211    185.072052001953
4.555    34.5970153808594    190.159423828125
4.655    36.4797058105469    194.791900634766
4.755    38.3427696228027    199.271759033203
4.855    40.3220901489258    203.866333007813
4.955    42.5346641540527    208.877883911133
5.056    44.1065940856934    213.586166381836
5.156    46.2411689758301    218.559799194336
5.256    47.9686012268066    222.812225341797
5.356    50.2196807861328    227.55842590332
5.456    52.2961273193359    232.835815429688
5.557    53.8683052062988    237.278259277344
5.657    56.1000061035156    242.289810180664
5.757    57.8659439086914    246.504333496094
5.857    59.7483825683594    251.592178344727
5.957    61.650447845459    256.148345947266
6.057    63.532886505127    261.197814941406
6.158    65.0660629272461    265.753967285156
6.258    67.2396392822266    270.158508300781
6.358    69.2579574584961    274.714691162109
6.458    70.9851455688477    279.878356933594
6.558    73.1393432617188    284.889892578125
6.659    74.4978866577148    289.29443359375
6.759    76.3997039794922    294.040649414063
6.859    77.8163757324219    298.5205078125
6.959    80.0093307495117    303.190887451172
7.059    81.5231323242188    308.126617431641
7.159    83.3668212890625    312.910736083984
7.26    85.8509063720703    317.732727050781
7.36    87.0929489135742    322.174713134766
7.46    88.8007583618164    326.9208984375
