sec"   "mA"   "mV
0.156    -12.6781148910522    -21.6265354156494
0.254    -11.1839370727539    -19.3486919403076
0.351    -10.4657878875732    -17.3362007141113
0.449    -10.1165256500244    -14.9820566177368
0.547    -9.70888710021973    -12.6283979415894
0.644    -9.55363178253174    -10.5400915145874
0.742    -9.22374534606934    -8.29967021942139
0.839    -9.24312114715576    -5.98391914367676
0.937    -9.08786582946777    -4.00933504104614
1.035    -9.0297384262085    -1.57937633991241
1.132    -9.04911422729492    0.660559594631195
1.232    -8.87448310852051    2.93888878822327
1.333    -8.85510730743408    5.1030101776123
1.433    -8.68022727966309    7.45715379714966
1.533    -8.89385890960693    9.7349967956543
1.633    -8.75797939300537    11.9754190444946
1.734    -8.66085147857666    14.2532625198364
1.834    -8.69985198974609    16.5694980621338
1.934    -8.69985198974609    18.7715282440186
2.034    -8.60272407531738    20.8219261169434
2.134    -8.66085147857666    23.0618629455566
2.234    -8.56397247314453    25.8334732055664
2.335    -8.66085147857666    27.8080577850342
2.435    -8.48622035980225    30.3896446228027
2.535    -8.69985198974609    32.477954864502
2.635    -8.50559616088867    34.8700065612793
2.736    -8.48622035980225    37.1862411499023
2.836    -8.50559616088867    39.4261779785156
2.936    -8.58334827423096    41.5902976989746
3.036    -8.36971664428711    43.7923278808594
3.136    -8.56397247314453    46.0327491760254
3.236    -8.50559616088867    48.4627075195313
3.337    -8.50559616088867    50.8163642883301
3.437    -8.35034084320068    52.904670715332
3.537    -8.33096504211426    55.4488372802734
3.637    -8.48622035980225    57.5750541687012
3.737    -8.36971664428711    59.7391738891602
3.838    -8.33096504211426    61.8653869628906
3.938    -8.38934135437012    64.333251953125
4.038    -8.21446132659912    66.8011169433594
4.138    -8.35034084320068    69.0410537719727
4.238    -8.27283763885498    71.4710159301758
4.339    -8.13695812225342    73.4455947875977
4.439    -8.42809295654297    76.0271835327148
4.539    -8.21446132659912    78.039680480957
4.639    -8.27283763885498    80.4317321777344
4.739    -8.21446132659912    82.6337585449219
4.84    -8.25346183776855    84.8741836547852
4.94    -8.23408603668213    86.8861846923828
5.04    -8.29221343994141    89.3161468505859
5.14    -8.1950855255127    91.7081985473633
5.24    -8.29221343994141    94.0244293212891
5.341    -8.23408603668213    96.3401794433594
5.441    -8.23408603668213    98.8464431762695
5.541    -8.17570972442627    100.78263092041
5.641    -8.27283763885498    102.908843994141
5.741    -8.17570972442627    105.072967529297
5.842    -8.27283763885498    107.5029296875
5.942    -8.29221343994141    109.932884216309
6.042    -8.1950855255127    112.590774536133
6.142    -8.31158924102783    114.337425231934
6.242    -8.15633392333984    116.577362060547
6.343    -8.15633392333984    119.045227050781
6.443    -8.07883071899414    121.32356262207
6.543    -8.1950855255127    123.449775695801
6.643    -8.21446132659912    125.879730224609
6.743    -8.21446132659912    127.968032836914
6.844    -8.15633392333984    130.47380065918
6.944    -8.13695812225342    132.485809326172
7.044    -8.15633392333984    134.954162597656
7.144    -8.1950855255127    137.118286132813
7.244    -8.15633392333984    139.092376708984
7.345    -8.09820652008057    141.901901245117
7.445    -8.11758232116699    143.876480102539
7.545    -8.11758232116699    146.116424560547
7.645    -8.13695812225342    148.394744873047
7.745    -8.09820652008057    150.786804199219
7.846    -8.05920600891113    152.875106811523
7.946    -8.05920600891113    155.380874633789
8.046    -8.17570972442627    157.886657714844
8.146    -8.07883071899414    159.822845458984
8.246    -8.09820652008057    162.139083862305
8.346    -8.15633392333984    164.455322265625
8.447    -8.07883071899414    166.733154296875
8.547    -8.11758232116699    168.935668945313
8.647    -8.15633392333984    171.365631103516
8.747    -8.11758232116699    173.377639770508
8.847    -8.00107860565186    175.807601928711
8.948    -8.07883071899414    178.427581787109
9.048    -8.05920600891113    180.287963867188
9.148    -8.02045440673828    182.831634521484
9.248    -8.02045440673828    185.185775756836
9.348    -7.98170280456543    187.311996459961
9.449    -8.07883071899414    189.514022827148
9.549    -8.09820652008057    191.640243530273
9.649    -8.05920600891113    193.842758178711
9.749    -7.962327003479    196.120590209961
9.849    -8.05920600891113    198.512649536133
9.949    -8.05920600891113    200.752578735352
10.05    -8.02045440673828    203.220443725586
10.15    -8.03983020782471    205.726699829102
10.25    -8.09820652008057    207.700805664063
10.35    -7.90395069122314    209.713302612305
10.45    -7.92357492446899    212.029052734375
10.551    -8.03983020782471    214.383193969727
10.651    -8.02045440673828    216.775238037109
10.751    -7.90395069122314    219.205200195313
10.851    -8.03983020782471    221.369323730469
10.951    -8.02045440673828    223.989303588867
11.052    -7.962327003479    225.849685668945
11.152    -7.84582328796387    228.127517700195
11.252    -7.92357492446899    230.405853271484
11.352    -8.07883071899414    232.91162109375
11.452    -7.92357492446899    234.886215209961
11.553    -8.05920600891113    237.201965332031
11.653    -7.92357492446899    239.328170776367
11.753    -7.86519908905029    241.492294311523
11.853    -7.86519908905029    244.225997924805
11.953    -7.69056797027588    246.504333496094
12.054    -7.86519908905029    248.744262695313
12.154    -7.86519908905029    250.718856811523
12.254    -7.80707168579102    253.110900878906
12.354    -7.80707168579102    255.312927246094
12.454    -7.80707168579102    257.742889404297
12.555    -7.72931957244873    259.641174316406
12.655    -7.74869537353516    262.147430419922
12.755    -7.72931957244873    264.577392578125
12.855    -7.74869537353516    266.855224609375
12.955    -7.962327003479    269.285186767578
13.056    -7.72931957244873    271.449310302734
13.156    -7.90395069122314    273.651336669922
13.256    -7.84582328796387    275.853851318359
13.356    -7.80707168579102    278.283813476563
13.456    -7.67119216918945    280.220001220703
13.557    -7.962327003479    282.725769042969
13.657    -7.80707168579102    284.851989746094
13.757    -7.69056797027588    287.130310058594
13.857    -7.67119216918945    289.636108398438
13.957    -7.61306428909302    291.724395751953
14.058    -7.78769540786743    294.192260742188
14.158    -7.55468845367432    296.356384277344
14.258    -7.53531265258789    298.596801757813
14.358    -7.59344005584717    300.760925292969
14.458    -7.61306428909302    303.114593505859
14.558    -7.45780897140503    305.355010986328
