"sec"   "mA"   "mV"
0.061   -617.534057617188   -1134.24450683594
0.066   -617.534057617188   -1134.24450683594
0.071   -617.786315917969   -1138.00341796875
0.077   -617.786315917969   -1138.00341796875
0.082   -617.786315917969   -1138.00341796875
0.087   -617.747436523438   -1141.49645996094
0.092   -617.747436523438   -1141.49645996094
0.097   -617.689331054688   -1141.87634277344
0.103   -617.689331054688   -1141.87634277344
0.108   -617.844543457031   -1142.36987304688
0.113   -617.844543457031   -1142.36987304688
0.118   -617.844543457031   -1141.9521484375
0.123   -617.844543457031   -1141.9521484375
0.129   -617.708679199219   -1140.81323242188
0.134   -617.689331054688   -1139.02868652344
0.139   -617.689331054688   -1139.02868652344
0.144   -617.786315917969   -1137.05432128906
0.149   -617.786315917969   -1137.05432128906
0.155   -617.747436523438   -1134.09265136719
0.16   -617.747436523438   -1134.09265136719
0.165   -617.689331054688   -1130.82751464844
0.17   -617.689331054688   -1130.82751464844
0.175   -617.708679199219   -1127.56213378906
0.18   -617.708679199219   -1127.56213378906
0.186   -617.708679199219   -1124.638671875
0.191   -617.747436523438   -1121.82922363281
0.196   -617.747436523438   -1121.82922363281
0.201   -617.786315917969   -1119.17126464844
0.208   -617.786315917969   -1119.17126464844
0.213   -510.155517578125   -924.432678222656
0.218   -510.155517578125   -924.432678222656
0.223   -205.777267456055   -368.427307128906
0.228   -205.777267456055   -368.427307128906
0.234   -205.777267456055   -368.427307128906
0.239   -7.49656057357788   6.77336359024048
0.244   -7.49656057357788   6.77336359024048
0.249   -8.21446132659912   9.08960056304932
0.254   -8.21446132659912   9.08960056304932
0.26   -31.4252605438232   -28.6505737304688
0.265   -31.4252605438232   -28.6505737304688
0.27   -30.8042392730713   -26.7901973724365
0.275   -30.8042392730713   -26.7901973724365
0.28   -7.06954622268677   15.164496421814
0.286   -6.68153238296509   16.9869651794434
0.291   -6.68153238296509   16.9869651794434
0.296   -6.73965978622437   17.7844772338867
0.301   -6.73965978622437   17.7844772338867
0.307   -6.97241878509521   18.1261310577393
0.312   -6.97241878509521   18.1261310577393
0.317   -7.16667413711548   18.8094348907471
0.322   -7.16667413711548   18.8094348907471
0.327   -7.30255365371704   19.0373649597168
0.333   -7.30255365371704   19.0373649597168
0.338   -7.78769540786743   18.9615497589111
0.343   -8.54459667205811   18.354061126709
0.348   -8.54459667205811   18.354061126709
0.353   -76.7598190307617   -89.7795867919922
0.359   -76.7598190307617   -89.7795867919922
0.364   -76.138801574707   -90.8045425415039
0.369   -76.138801574707   -90.8045425415039
0.374   -7.32192945480347   18.5056896209717
0.379   -7.32192945480347   18.5056896209717
0.385   -6.50665283203125   21.9606056213379
0.39   -6.50665283203125   21.9606056213379
0.395   -6.50665283203125   21.9606056213379
0.4   -6.73965978622437   22.5301876068115
0.405   -6.73965978622437   22.5301876068115
0.411   -6.95304298400879   22.4164657592773
0.416   -6.95304298400879   22.4164657592773
0.421   -6.8561635017395   23.1755847930908
0.426   -6.8561635017395   23.1755847930908
0.431   -6.83678770065308   23.4035148620605
0.437   -6.83678770065308   23.4035148620605
0.442   -7.01141881942749   23.2139778137207
0.447   -7.1860499382019   23.1755847930908
0.452   -7.1860499382019   23.1755847930908
0.458   -7.36068105697632   22.8718395233154
0.463   -7.36068105697632   22.8718395233154
0.468   -7.80707168579102   22.0369052886963
0.473   -7.80707168579102   22.0369052886963
0.478   -8.60272407531738   21.2393932342529
0.484   -8.60272407531738   21.2393932342529
0.489   -35.1707611083984   -28.3847351074219
0.494   -35.1707611083984   -28.3847351074219
0.499   -34.3363571166992   -28.4610366821289
0.504   -6.93366718292236   22.4922790527344
0.51   -6.93366718292236   22.4922790527344
0.515   -6.2738938331604   25.2638912200928
0.52   -6.2738938331604   25.2638912200928
0.525   -6.44852495193481   25.3017978668213
0.53   -6.44852495193481   25.3017978668213
0.536   -6.93366718292236   24.656400680542
0.541   -6.93366718292236   24.656400680542
0.546   -6.91429090499878   24.6184940338135
0.551   -6.91429090499878   24.6184940338135
0.556   -6.91429090499878   24.6184940338135
0.562   -6.87553930282593   25.1880760192871
0.567   -6.87553930282593   25.1880760192871
0.572   -7.03079462051392   24.9601459503174
0.577   -7.03079462051392   24.9601459503174
0.582   -7.26355361938477   24.732702255249
0.588   -7.26355361938477   24.732702255249
0.593   -7.59344005584717   24.4668636322021
0.598   -7.59344005584717   24.4668636322021
0.603   -8.15633392333984   23.5177230834961
0.608   -35.481273651123   -19.576135635376
0.614   -35.481273651123   -19.576135635376
0.619   -35.3260192871094   -23.9048633575439
0.624   -35.3260192871094   -23.9048633575439
0.629   -7.67119216918945   18.8473415374756
0.635   -7.67119216918945   18.8473415374756
0.64   -6.68153238296509   24.8843307495117
0.645   -6.68153238296509   24.8843307495117
0.65   -6.2738938331604   26.40305519104
0.655   -6.2738938331604   26.40305519104
0.661   -6.64253234863281   26.2130317687988
0.666   -7.05017042160034   25.7576580047607
0.671   -7.05017042160034   25.7576580047607
0.676   -6.93366718292236   25.9855880737305
0.681   -6.93366718292236   25.9855880737305
0.687   -6.81716346740723   26.2130317687988
0.692   -6.81716346740723   26.2130317687988
0.697   -6.97241878509521   26.3272399902344
0.702   -6.97241878509521   26.3272399902344
0.707   -7.08892250061035   25.9092884063721
0.713   -7.08892250061035   25.9092884063721
0.718   -7.08892250061035   25.9092884063721
0.723   -7.78769540786743   25.0364475250244
0.728   -7.78769540786743   25.0364475250244
0.733   -8.48622035980225   23.9730968475342
0.739   -8.48622035980225   23.9730968475342
0.744   -77.8466110229492   -89.8933029174805
0.749   -77.8466110229492   -89.8933029174805
0.754   -77.2062072753906   -91.60205078125
0.759   -77.2062072753906   -91.60205078125
0.765   -7.22480201721191   22.4164657592773
0.77   -6.5262770652771   26.2514266967773
0.775   -6.5262770652771   26.2514266967773
0.78   -6.33202123641968   27.3521976470947
0.785   -6.33202123641968   27.3521976470947
0.791   -6.77841138839722   26.8968238830566
0.796   -6.77841138839722   26.8968238830566
0.801   -6.99204301834106   26.6309852600098
0.806   -6.99204301834106   26.6309852600098
0.811   -6.81716346740723   27.0105457305908
0.817   -6.81716346740723   27.0105457305908
0.822   -6.8561635017395   27.0484523773193
0.827   -7.05017042160034   26.8968238830566
0.832   -7.05017042160034   26.8968238830566
0.837   -7.16667413711548   26.5930786132813
0.843   -7.16667413711548   26.5930786132813
0.848   -7.43818473815918   26.1751251220703
0.853   -7.43818473815918   26.1751251220703
0.858   -7.92357492446899   25.4918212890625
0.863   -7.92357492446899   25.4918212890625
0.869   -8.58334827423096   24.2389335632324
0.874   -8.58334827423096   24.2389335632324
0.879   -8.58334827423096   24.2389335632324
0.884   -58.7889518737793   -65.8974609375
0.889   -58.7889518737793   -65.8974609375
0.895   -7.08892250061035   24.2389335632324
0.9   -7.08892250061035   24.2389335632324
0.905   -6.37102174758911   27.1626605987549
0.91   -6.37102174758911   27.1626605987549
0.915   -6.37102174758911   27.8459644317627
0.921   -6.37102174758911   27.8459644317627
0.926   -6.8561635017395   27.2005672454834
0.931   -6.8561635017395   27.2005672454834
0.936   -6.8561635017395   27.2005672454834
0.942   -6.83678770065308   27.5801277160645
0.947   -6.83678770065308   27.5801277160645
0.952   -6.83678770065308   27.7317562103271
0.957   -6.83678770065308   27.7317562103271
0.962   -7.01141881942749   27.3901042938232
0.968   -7.01141881942749   27.3901042938232
0.973   -7.20542573928833   27.124267578125
0.978   -7.20542573928833   27.124267578125
0.983   -7.49656057357788   26.5551700592041
0.988   -7.98170280456543   25.7576580047607
0.994   -7.98170280456543   25.7576580047607
0.999   -10.8344268798828   21.1256713867188
1.004   -10.8344268798828   21.1256713867188
1.009   -20.7320175170898   -3.02228569984436
1.015   -20.7320175170898   -3.02228569984436
1.02   -17.7434139251709   0.205185323953629
1.025   -17.7434139251709   0.205185323953629
1.03   -6.91429090499878   25.7197513580322
1.035   -6.91429090499878   25.7197513580322
1.041   -6.91429090499878   25.7197513580322
1.046   -6.5262770652771   28.0355014801025
1.051   -6.5262770652771   28.0355014801025
1.056   -6.93366718292236   27.5801277160645
1.061   -6.93366718292236   27.5801277160645
1.067   -6.81716346740723   27.7317562103271
1.072   -6.81716346740723   27.7317562103271
1.077   -6.73965978622437   28.2255249023438
1.082   -6.73965978622437   28.2255249023438
1.087   -6.91429090499878   28.0355014801025
1.093   -7.10829830169678   27.6938495635986
1.098   -7.10829830169678   27.6938495635986
1.103   -7.28292942047119   27.3142890930176
1.108   -7.28292942047119   27.3142890930176
1.113   -7.55468845367432   26.9726371765137
1.119   -7.55468845367432   26.9726371765137
1.124   -8.07883071899414   25.7197513580322
1.129   -8.07883071899414   25.7197513580322
1.134   -29.1158065795898   -7.7300877571106
1.139   -29.1158065795898   -7.7300877571106
1.145   -29.3488140106201   -13.9191923141479
1.15   -8.11758232116699   18.6957130432129
1.155   -8.11758232116699   18.6957130432129
1.16   -6.77841138839722   26.4409618377686
1.165   -6.77841138839722   26.4409618377686
1.171   -6.23514223098755   28.6050834655762
1.176   -6.23514223098755   28.6050834655762
1.181   -6.66190814971924   28.3776397705078
1.186   -6.66190814971924   28.3776397705078
1.191   -6.99204301834106   27.9596862792969
1.197   -6.99204301834106   27.9596862792969
1.202   -6.99204301834106   27.9596862792969
