"sec"   "mA"   "mV"
0.061   -617.514526367188   -1078.35546875
0.066   -617.514526367188   -1078.35546875
0.071   -617.844543457031   -1078.0517578125
0.077   -617.844543457031   -1078.0517578125
0.082   -617.922180175781   -1077.21655273438
0.087   -617.922180175781   -1077.21655273438
0.092   -617.708679199219   -1075.62182617188
0.097   -617.669799804688   -1074.3310546875
0.103   -617.669799804688   -1074.3310546875
0.108   -617.8056640625   -1073.07788085938
0.113   -617.8056640625   -1073.07788085938
0.118   -617.844543457031   -1071.93896484375
0.123   -617.844543457031   -1071.93896484375
0.128   -617.766906738281   -1070.95166015625
0.134   -617.766906738281   -1070.95166015625
0.139   -617.766906738281   -1070.30627441406
0.144   -617.766906738281   -1070.30627441406
0.149   -617.766906738281   -1070.30627441406
0.154   -617.708679199219   -1070.23046875
0.16   -617.708679199219   -1070.23046875
0.165   -617.747436523438   -1070.23046875
0.17   -617.747436523438   -1070.23046875
0.175   -617.766906738281   -1070.15441894531
0.18   -617.766906738281   -1070.15441894531
0.186   -617.747436523438   -1070.30627441406
0.191   -617.747436523438   -1070.30627441406
0.196   -617.689331054688   -1070.04040527344
0.201   -617.689331054688   -1070.04040527344
0.206   -617.689331054688   -1070.04040527344
0.212   -617.747436523438   -1069.20520019531
0.217   -617.747436523438   -1069.20520019531
0.222   -617.766906738281   -1068.59777832031
0.227   -617.766906738281   -1068.59777832031
0.232   -617.747436523438   -1067.53466796875
0.238   -617.747436523438   -1067.53466796875
0.243   -617.708679199219   -1066.16784667969
0.248   -617.708679199219   -1066.16784667969
0.253   -617.766906738281   -1064.38317871094
0.258   -617.766906738281   -1064.38317871094
0.263   -617.766906738281   -1064.38317871094
0.269   -617.72802734375   -1060.09289550781
0.274   -617.72802734375   -1060.09289550781
0.279   -617.689331054688   -1056.6376953125
0.284   -617.689331054688   -1056.6376953125
0.289   -617.689331054688   -1050.10717773438
0.295   -617.689331054688   -1050.10717773438
0.3   -617.708679199219   -1041.14672851563
0.305   -617.708679199219   -1041.14672851563
0.31   -617.689331054688   -1031.61669921875
0.315   -617.650451660156   -1021.4033203125
0.321   -617.650451660156   -1021.4033203125
0.326   -617.631042480469   -1009.29144287109
0.331   -617.631042480469   -1009.29144287109
0.336   -617.631042480469   -995.926696777344
0.341   -617.631042480469   -995.926696777344
0.347   -617.631042480469   -982.410034179688
0.352   -617.631042480469   -982.410034179688
0.357   -617.611694335938   -969.083190917969
0.362   -617.611694335938   -969.083190917969
0.367   -617.631042480469   -956.819641113281
0.373   -617.669799804688   -945.656921386719
0.378   -617.669799804688   -945.656921386719
0.383   -617.650451660156   -936.506652832031
0.388   -617.650451660156   -936.506652832031
0.393   -617.650451660156   -928.571411132813
0.399   -617.650451660156   -928.571411132813
0.404   -617.669799804688   -921.509216308594
0.409   -617.669799804688   -921.509216308594
0.414   -617.669799804688   -915.472229003906
0.419   -617.669799804688   -915.472229003906
0.424   -617.650451660156   -910.802307128906
0.43   -617.669799804688   -906.321960449219
0.435   -617.669799804688   -906.321960449219
0.44   -617.747436523438   -902.525390625
0.445   -617.747436523438   -902.525390625
0.45   -617.72802734375   -899.601684570313
0.456   -617.72802734375   -899.601684570313
0.461   -617.669799804688   -896.677917480469
0.466   -617.669799804688   -896.677917480469
0.471   -617.650451660156   -893.792602539063
0.476   -617.650451660156   -893.792602539063
0.482   -617.650451660156   -893.792602539063
0.487   -617.689331054688   -889.540161132813
0.492   -617.689331054688   -889.540161132813
0.497   -617.708679199219   -887.831420898438
0.502   -617.708679199219   -887.831420898438
0.508   -617.689331054688   -886.388549804688
0.513   -617.689331054688   -886.388549804688
0.518   -617.689331054688   -884.831909179688
0.523   -617.689331054688   -884.831909179688
0.528   -617.708679199219   -883.161560058594
0.533   -617.708679199219   -883.161560058594
0.539   -617.708679199219   -883.161560058594
0.544   -617.747436523438   -881.035339355469
0.549   -617.747436523438   -881.035339355469
0.554   -617.72802734375   -879.592407226563
0.559   -617.72802734375   -879.592407226563
0.565   -617.689331054688   -878.301635742188
0.57   -617.689331054688   -878.301635742188
0.575   -617.689331054688   -877.010314941406
0.58   -617.689331054688   -877.010314941406
0.585   -617.72802734375   -875.757446289063
0.591   -617.72802734375   -875.757446289063
0.596   -617.72802734375   -875.757446289063
0.601   -617.766906738281   -873.175842285156
0.606   -617.766906738281   -873.175842285156
0.611   -617.747436523438   -871.163391113281
0.616   -617.747436523438   -871.163391113281
0.622   -617.689331054688   -869.682556152344
0.627   -617.689331054688   -869.682556152344
0.632   -617.72802734375   -868.050109863281
0.637   -617.72802734375   -868.050109863281
0.642   -617.747436523438   -866.910949707031
0.648   -617.747436523438   -865.354309082031
0.653   -617.747436523438   -865.354309082031
0.658   -617.72802734375   -863.4560546875
0.663   -617.72802734375   -863.4560546875
0.668   -617.708679199219   -861.595642089844
0.674   -617.708679199219   -861.595642089844
0.679   -617.708679199219   -860.076904296875
0.684   -617.708679199219   -860.076904296875
0.689   -617.747436523438   -858.254455566406
0.694   -617.747436523438   -858.254455566406
0.7   -617.786315917969   -856.545715332031
0.705   -617.786315917969   -854.989074707031
0.71   -617.786315917969   -854.989074707031
0.715   -617.766906738281   -853.432434082031
0.72   -617.766906738281   -853.432434082031
0.725   -617.766906738281   -852.217468261719
0.731   -617.766906738281   -852.217468261719
0.736   -617.747436523438   -851.154113769531
0.741   -617.747436523438   -851.154113769531
0.746   -617.72802734375   -850.280822753906
0.751   -617.72802734375   -850.280822753906
0.757   -617.747436523438   -849.217956542969
0.762   -617.766906738281   -848.0029296875
0.767   -617.766906738281   -848.0029296875
0.772   -617.8056640625   -846.97802734375
0.777   -617.8056640625   -846.97802734375
0.783   -617.766906738281   -846.218383789063
0.788   -617.766906738281   -846.218383789063
0.793   -617.747436523438   -845.231323242188
0.798   -617.747436523438   -845.231323242188
0.803   -617.786315917969   -844.509643554688
0.808   -617.786315917969   -844.509643554688
0.814   -617.786315917969   -843.484680175781
0.819   -617.8056640625   -842.990905761719
0.824   -617.8056640625   -842.990905761719
0.829   -617.8056640625   -842.383422851563
0.834   -617.8056640625   -842.383422851563
0.84   -617.747436523438   -841.662231445313
0.845   -617.747436523438   -841.662231445313
0.85   -617.708679199219   -840.941040039063
0.855   -617.708679199219   -840.941040039063
0.86   -617.747436523438   -840.637268066406
0.866   -617.747436523438   -840.637268066406
0.871   -617.747436523438   -840.295593261719
0.876   -617.747436523438   -839.953491210938
0.881   -617.747436523438   -839.953491210938
0.886   -617.786315917969   -839.346008300781
0.891   -617.786315917969   -839.346008300781
0.897   -617.8056640625   -838.776916503906
0.902   -617.8056640625   -838.776916503906
0.907   -617.747436523438   -838.207336425781
0.912   -617.747436523438   -838.207336425781
0.917   -617.747436523438   -837.941467285156
0.923   -617.747436523438   -837.941467285156
0.928   -617.747436523438   -837.941467285156
0.933   -617.8056640625   -837.447692871094
0.938   -617.8056640625   -837.447692871094
0.943   -617.786315917969   -837.561889648438
0.949   -617.786315917969   -837.561889648438
0.954   -617.8056640625   -837.675659179688
0.959   -617.8056640625   -837.675659179688
0.964   -617.786315917969   -837.903564453125
0.969   -617.786315917969   -837.903564453125
