sec"   "mA"   "mV
0.066    -617.514526367188    -400.016784667969
0.076    -617.863952636719    -400.05517578125
0.086    -613.109252929688    -392.157806396484
0.096    -520.266479492188    -331.332550048828
0.106    -392.432952880859    -251.675582885742
0.116    -333.300048828125    -213.669570922852
0.126    -285.093383789063    -180.865127563477
0.136    -274.458251953125    -172.92936706543
0.146    -265.084808349609    -166.43701171875
0.156    -259.359741210938    -162.450424194336
0.167    -256.235260009766    -160.096282958984
0.177    -254.876708984375    -158.539642333984
0.187    -252.295501708984    -156.299713134766
0.197    -250.025039672852    -154.743072509766
0.207    -249.753280639648    -154.515151977539
0.217    -249.675537109375    -154.097198486328
0.227    -249.559280395508    -153.793441772461
0.237    -249.539901733398    -153.528091430664
0.247    -250.956573486328    -153.983474731445
0.257    -252.218002319336    -154.590957641602
0.267    -253.362915039063    -154.818893432617
0.277    -255.963500976563    -156.147598266602
0.287    -259.068603515625    -157.628402709961
0.297    -263.124633789063    -159.450881958008
0.308    -267.200012207031    -161.539184570313
0.318    -271.372528076172    -163.665405273438
0.328    -276.030181884766    -165.867431640625
0.338    -279.853454589844    -167.576171875
0.348    -283.598937988281    -169.664474487305
0.358    -287.926727294922    -171.524856567383
0.368    -292.332000732422    -173.498962402344
0.378    -296.038757324219    -175.321426391602
0.388    -300.774169921875    -177.713470458984
0.398    -305.878204345703    -180.143432617188
0.408    -311.525543212891    -182.763412475586
0.418    -317.910369873047    -185.800857543945
0.428    -322.529296875    -187.964981079102
0.438    -326.973327636719    -189.901168823242
0.449    -332.834259033203    -192.673278808594
0.459    -341.431701660156    -196.621963500977
0.469    -345.604217529297    -198.520233154297
0.479    -352.610076904297    -201.899337768555
0.489    -358.432037353516    -204.670944213867
0.499    -363.012176513672    -206.493423461914
0.509    -368.135620117188    -208.923385620117
0.519    -373.976928710938    -211.391250610352
0.529    -380.478302001953    -214.618713378906
0.539    -386.222747802734    -217.162399291992
0.549    -392.724090576172    -220.237747192383
0.559    -400.234710693359    -223.731063842773
0.569    -407.531707763672    -226.958038330078
0.579    -413.314910888672    -229.274276733398
0.59    -418.283081054688    -231.400497436523
0.6    -426.045867919922    -235.083343505859
0.61    -435.788177490234    -239.411590576172
0.62    -443.764343261719    -243.056518554688
0.63    -460.434783935547    -250.270584106445
0.64    -470.2548828125    -254.598831176758
0.65    -477.027740478516    -257.408843994141
0.66    -484.615997314453    -260.825836181641
0.67    -494.047698974609    -265.268280029297
0.68    -502.877868652344    -269.026947021484
0.69    -511.125793457031    -272.671875
0.7    -519.858947753906    -275.823059082031
0.71    -529.116027832031    -279.848052978516
0.72    -538.68359375    -284.138366699219
0.731    -548.969299316406    -288.4287109375
0.741    -560.923950195313    -293.174896240234
0.751    -572.471130371094    -298.300170898438
0.761    -581.90283203125    -302.248870849609
0.771    -590.694274902344    -305.666351318359
0.781    -598.767517089844    -309.1591796875
0.791    -612.158264160156    -314.664489746094
0.801    -616.427734375    -315.879455566406
0.811    -617.786315917969    -315.765747070313
0.821    -617.611694335938    -315.386169433594
0.831    -617.631042480469    -315.537811279297
0.841    -617.786315917969    -315.309875488281
0.851    -617.8056640625    -314.968231201172
0.861    -617.747436523438    -314.930328369141
0.872    -617.747436523438    -314.854522705078
0.882    -617.786315917969    -314.057006835938
0.892    -617.8056640625    -313.981170654297
0.902    -617.8056640625    -313.183654785156
0.912    -617.844543457031    -312.652465820313
0.922    -617.902709960938    -312.614562988281
0.932    -617.844543457031    -312.804107666016
0.942    -617.786315917969    -312.766204833984
0.952    -617.786315917969    -312.690399169922
