sec"   "mA"   "mV
0.061    -1012.91143798828    -465.739868164063
0.066    -830.369750976563    -380.387573242188
0.071    -830.369750976563    -380.387573242188
0.077    -583.222473144531    -265.799468994141
0.082    -583.222473144531    -265.799468994141
0.087    -490.903839111328    -219.554443359375
0.092    -490.903839111328    -219.554443359375
0.097    -454.496337890625    -198.216491699219
0.103    -454.496337890625    -198.216491699219
0.108    -436.777862548828    -186.180419921875
0.113    -428.529937744141    -178.890548706055
0.118    -428.529937744141    -178.890548706055
0.123    -429.810729980469    -175.777282714844
0.129    -429.810729980469    -175.777282714844
0.134    -434.487762451172    -174.334381103516
0.139    -434.487762451172    -174.334381103516
0.144    -438.815551757813    -173.423141479492
0.149    -438.815551757813    -173.423141479492
0.154    -442.638793945313    -172.625625610352
0.16    -442.638793945313    -172.625625610352
0.165    -442.638793945313    -172.625625610352
0.17    -456.825164794922    -173.840606689453
0.175    -456.825164794922    -173.840606689453
0.18    -463.656402587891    -175.207702636719
0.186    -463.656402587891    -175.207702636719
0.191    -472.214813232422    -177.220199584961
0.196    -472.214813232422    -177.220199584961
0.201    -482.442413330078    -179.270111083984
0.207    -477.493499755859    -176.612701416016
0.213    -477.493499755859    -176.612701416016
0.218    -272.963836669922    -96.6515045166016
0.223    -272.963836669922    -96.6515045166016
0.228    -88.1712112426758    -24.4744472503662
0.233    -88.1712112426758    -24.4744472503662
0.239    -94.788818359375    -26.9044055938721
0.244    -94.788818359375    -26.9044055938721
0.249    -93.1200103759766    -26.4106369018555
0.254    -93.1200103759766    -26.4106369018555
0.259    -93.2946395874023    -26.7143821716309
0.265    -91.9360885620117    -26.4106369018555
0.27    -91.9360885620117    -26.4106369018555
0.275    -91.5090789794922    -26.5243587493896
0.28    -91.5090789794922    -26.5243587493896
0.285    -90.596923828125    -26.6764755249023
0.291    -90.596923828125    -26.6764755249023
0.296    -89.9177703857422    -26.4864521026611
0.301    -89.9177703857422    -26.4864521026611
0.306    -89.1414947509766    -26.372730255127
0.311    -89.1414947509766    -26.372730255127
0.317    -88.6563568115234    -26.5243587493896
0.322    -88.0547103881836    -26.5622673034668
0.327    -88.0547103881836    -26.5622673034668
0.332    -87.5501937866211    -26.4485454559326
0.337    -87.5501937866211    -26.4485454559326
0.343    -86.9679183959961    -26.3348236083984
0.348    -86.9679183959961    -26.3348236083984
0.353    -86.9872970581055    -26.4106369018555
0.358    -86.9872970581055    -26.4106369018555
0.363    -86.4244003295898    -26.4485454559326
0.369    -86.4244003295898    -26.4485454559326
0.374    -86.4244003295898    -26.4485454559326
0.379    -85.7258758544922    -26.4106369018555
0.384    -85.7258758544922    -26.4106369018555
0.389    -85.2407379150391    -26.4485454559326
0.395    -85.2407379150391    -26.4485454559326
0.4    -84.7362213134766    -26.6385669708252
0.405    -84.7362213134766    -26.6385669708252
0.41    -83.9793167114258    -26.5622673034668
0.415    -83.9793167114258    -26.5622673034668
0.421    -83.8821868896484    -26.4864521026611
0.426    -83.5523071289063    -26.4864521026611
0.431    -83.5523071289063    -26.4864521026611
0.436    -83.3970489501953    -26.5243587493896
0.441    -83.3970489501953    -26.5243587493896
0.447    -82.7954025268555    -26.372730255127
0.452    -82.7954025268555    -26.372730255127
0.457    -82.6982727050781    -26.372730255127
0.462    -82.6982727050781    -26.372730255127
0.467    -82.4461364746094    -26.4864521026611
0.473    -82.4461364746094    -26.4864521026611
0.478    -82.4267654418945    -26.4864521026611
0.483    -81.6311111450195    -26.5243587493896
0.488    -81.6311111450195    -26.5243587493896
0.493    -81.0488433837891    -26.4864521026611
0.499    -81.0488433837891    -26.4864521026611
0.504    -80.699577331543    -26.5622673034668
0.509    -80.699577331543    -26.5622673034668
0.514    -80.408447265625    -26.5622673034668
0.519    -80.408447265625    -26.5622673034668
0.525    -80.0785598754883    -26.5622673034668
0.53    -80.0785598754883    -26.5622673034668
0.535    -80.1754379272461    -26.5622673034668
0.54    -79.7096710205078    -26.5243587493896
0.545    -79.7096710205078    -26.5243587493896
0.551    -79.3410339355469    -26.5243587493896
0.556    -79.3410339355469    -26.5243587493896
0.561    -79.1857757568359    -26.4864521026611
0.566    -79.1857757568359    -26.4864521026611
0.571    -79.0111465454102    -26.4106369018555
0.577    -79.0111465454102    -26.4106369018555
0.582    -78.739387512207    -26.4864521026611
0.587    -78.739387512207    -26.4864521026611
0.592    -78.739387512207    -26.4864521026611
0.597    -78.2736206054688    -26.6006603240967
0.603    -78.2736206054688    -26.6006603240967
0.608    -78.0796127319336    -26.6006603240967
