sec"   "mA"   "mV
0.154    -523.546203613281    -470.068115234375
0.253    -538.217834472656    -470.143920898438
0.351    -649.943542480469    -470.106018066406
0.449    -680.6259765625    -469.992309570313
0.548    -688.058715820313    -469.954406738281
0.646    -693.997314453125    -469.954406738281
0.744    -701.236083984375    -469.954406738281
0.843    -709.464599609375    -470.030212402344
0.941    -726.057556152344    -469.878570556641
1.039    -734.033813476563    -469.802276611328
1.138    -731.802001953125    -469.878570556641
1.236    -728.425231933594    -470.143920898438
1.334    -727.687744140625    -470.030212402344
1.433    -726.465026855469    -469.840179443359
1.531    -725.087280273438    -469.878570556641
1.63    -723.592834472656    -469.802276611328
1.728    -722.680786132813    -469.878570556641
1.826    -722.001525878906    -470.030212402344
1.925    -721.361145019531    -469.878570556641
2.1    -49.9006462097168    -26.372730255127
2.199    -50.0946502685547    -26.4106369018555
2.297    -49.8425178527832    -26.4106369018555
2.395    -49.5126304626465    -26.1827068328857
2.494    -49.3377494812012    -26.3348236083984
2.592    -48.9691123962402    -26.4485454559326
2.69    -48.7167282104492    -26.3348236083984
2.789    -48.3093376159668    -26.4864521026611
2.887    -47.8435745239258    -26.4106369018555
2.986    -47.6883163452148    -26.5243587493896
